index,Drug_Name,Reason,Description,Description_Length
5156,perindolapril erbumine 4mg tablet 10'sperindolapril erbumine 8mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5157,phenylephrine 10mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5158,pine 2.5mg tablet 10'spine 5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5159,pinom 40mg tablet 15'spinom 10mg tablet 15'spinom 20mg tablet 10'spinom 20mg tablet 15'spinom 10mg tablet 10'spinom 30mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5160,pinom a 20mg tablet 10'spinom a 40mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5161,pinom c 20/10mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5162,pinom ct 40mg tablet 10'spinom ct 20mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5163,pinom h 20mg tablet 10'spinom h 40mg tablet 10'spinom h 40mg tablet 15's,Hypertension,used to treatâ blood pressure (hypertension),6
5164,pinom m 50mg tablet 10'spinom m 25mg tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5165,planep 25mg tablet 15's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5166,planep t 10mg kit 10+10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5167,plendil 10mg tablet 10'splendil 5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5168,pleotor t 10/40mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5169,polycap capsule 15's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5170,ponol 10mg tablet 10'sponol 40mg tablet 10'sponol 20mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5171,ponol tr 40mg tablet 10'sponol tr 80mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5172,pracept 2.5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5173,prazocip xl 2.5mg tablet 15'sprazocip xl 5mg tablet 15's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5174,prazoder xl 2.5mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5175,prazopill xl 2.5mg tablet 15'sprazopill xl 5mg tablet 15's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5176,prazopress 1mg tablet 10'sprazopress 2mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5177,prazopress xl 5mg tablet 30'sprazopress xl 2.5mg tablet 30's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5178,preface 5mg tablet 10'spreface 2.5mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5179,preface h 2.5/12.5mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5180,pregabolin 75mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5181,pregalin 100mg capsule 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5182,pregnasafe tablet 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5183,premodip tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5184,preneurolin 150mg tablet 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5185,presartan 50mg tablet 10'spresartan 25mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5186,presolar capsule 10's,Hypertension,lower high blood pressure (hypertension),5
5187,prilace 2.5mg tablet 10'sprilace 5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5188,primodil 5mg tablet 10'sprimodil 10mg tablet 10'sprimodil 2.5mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5189,primodil at tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5190,primodil l tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5191,proace 10mg capsule 10'sproace 5mg capsule 10'sproace 2.5mg capsule 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5192,proace h 5mg capsule 10'sproace h 2.5mg capsule 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5193,proamlo 50/5mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5194,prograin sr 40mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5195,prolol 20mg tablet 10'sprolol 40mg tablet 10'sprolol 10mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5196,prolol tr 40mg capsule 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5197,prolomet am 25mg tablet 10'sprolomet am 50mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5198,prolomet r 50mg tablet 10'sprolomet r 25mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5199,prolomet xl 25mg tablet 10'sprolomet xl 12.5mg tablet 10'sprolomet xl 100mg tablet 10'sprolomet xl 50mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5200,prolovas 50mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5201,prolovas t 50mg tablet 10'sprolovas t 25mg tablet 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5202,prolovas xl 25mg tablet 10'sprolovas xl 50mg tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5203,promotil tr 80mg tablet 10'spromotil tr 60mg capsule 10'spromotil tr 40mg capsule 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5204,pronara 40/5mg capsule 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5205,pronara ds 80/10mg capsule 10's,Hypertension,lower high blood pressure (hypertension),5
5206,pronate 20mg tablet 10'spronate 10mg tablet 10'spronate 40mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5207,pronate f tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5208,pronate tr tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5209,pronol 10mg tablet 10'spronol 40mg tablet 10'spronol 20mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5210,propanal 40mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5211,propanal tr 40mg capsule 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5212,properol 1mg injection 1ml,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5213,protol am tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5214,protol tl 40/50mg tablet 10'sprotol tl 40/25mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5215,protol xl 25mg tablet 10'sprotol xl 100mg tablet 10'sprotol xl 50mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5216,provanol 10mg tablet 10'sprovanol 40mg tablet 10'sprovanol 20mg tablet 10'sprovanol sr 60mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5217,provanol sr 80mg tablet 10'sprovanol sr 40mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5218,prozoten 1mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5219,prozoten xl 2.5mg tablet 10'sprozoten xl 5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5220,pruside injection,Hypertension,used to treatâ blood pressure (hypertension),6
5221,psycool 40mg tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5222,pulmonext 5mg tablet 10'spulmonext 10mg tablet 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5223,pulvance 62.5mg tablet 10'spulvance 125mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5224,q press h 10/12.5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5225,q spin 2.5mg tablet 10'sq spin 5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5226,qpril 40mg tablet 10'sqpril 20mg tablet 10'sqpril 5mg tablet 10'sqpril 10mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5227,qpril h tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5228,qualis 2.5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5229,quinoten 50mg tablet 14's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5230,r pril 2.5mg tablet 20'sr pril 2.5mg capsule 10'sr pril 1.25mg tablet 10'sr pril 5mg capsule 10'sr pril 5mg tablet 20'sr pril 5mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5231,race 2.5mg tablet 10'srace 5mg tablet 10'srace 1.25mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5232,race a 5/2.5mg capsule 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5233,race h 5mg tablet 10'srace h 2.5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5234,ramace 10mg capsule 10'sramace 2.5mg capsule 10'sramace 1.25mg tablet 15'sramace 5mg tablet 15'sramace 10mg capsule 15'sramace 5mg capsule 10'sramace 1.25mg capsule 10'sramace 2.5mg tablet 15's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5235,ramace h 2.5/12.5mg tablet 15'sramace h 2.5/12.5mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5236,ramcor h 5mg tablet 10'sramcor 2.5mg capsule 10'sramcor h 2.5mg tablet 10'sramcor 10mg capsule 10'sramcor 5mg capsule 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5237,ramcor 1.25mg capsule 10's,Hypertension,lower high blood pressure (hypertension),5
5238,ramey 5mg capsule 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5239,ramey d 5/1.5mg capsule 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5240,ramfirst 10mg tablet 10'sramfirst 2.5mg tablet 10'sramfirst 5mg tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5241,ramfirst h 2.5mg tablet 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5242,ramgee 2.5mg tablet 10'sramgee 5mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5243,ramic 5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5244,ramicard 5mg tablet 10'sramicard 1.25mg tablet 10'sramicard 2.5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5245,ramicard h 2.5mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5246,ramichek 2.5mg tablet 10'sramichek 1.25mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5247,ramichek h 2.5/12.5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5248,ramicure 5mg tablet 10'sramicure 2.5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5249,ramicure h tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5250,ramidil 5mg capsule 10'sramidil 2.5mg capsule 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5251,ramidil h 2.5mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5252,ramifast 2.5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5253,ramifast h 2.5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5254,ramifid 2.5mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5255,ramigal 2.5mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5256,ramihart 5mg capsule 10'sramihart 5mg capsule 7'sramihart h 5mg tablet 10'sramihart 2.5mg capsule 10'sramihart 2.5mg capsule 7's,Hypertension,lower high blood pressure (hypertension),5
5257,ramihart h 2.5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5258,ramilace 1.25mg tablet 10'sramilace 5mg tablet 10'sramilace 2.5mg tablet 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5259,raminorm h 5mg tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5260,ramipres 5mg tablet 10'sramipres h 10mg tablet 10'sramipres 1.25mg tablet 10'sramipres 2.5mg tablet 10'sramipres 10mg tablet 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5261,ramipres h 5/12.5mg tablet 10'sramipres h 2.5mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5262,ramipro 2.5mg capsule 10'sramipro 5mg capsule 10's,Hypertension,lower high blood pressure (hypertension),5
5263,ramirica 2.5mg tablet 10'sramirica 5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5264,ramiril 1.25mg capsule 10'sramiril 5mg capsule 10'sramiril 2.5mg capsule 10'sramiril 10mg capsule 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5265,ramiril h 5mg capsule 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5266,ramisave 10mg capsule 10'sramisave 5mg capsule 10'sramisave ch 2.5mg capsule 10'sramisave ch 5mg capsule 10'sramisave 2.5mg capsule 10's,Hypertension,lower high blood pressure (hypertension),5
5267,ramisave ch 10mg capsule 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5268,ramisave h 5mg capsule 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5269,ramisave ln 2.5mg tablet 10'sramisave ln 5mg capsule 10'sramisave ln 10mg capsule 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5270,ramistar 2.5mg capsule 10'sramistar 2.5mg tablet 10'sramistar 10mg capsule 10'sramistar 10mg tablet 10'sramistar 2.5mg tablet 15'sramistar 5mg capsule 10'sramistar 1.25mg capsule 10'sramistar 1.25mg tablet 10'sramistar 5mg tablet 15'sramistar h 10mg tablet 10'sramistar 1.25mg tablet 15'sramistar 10mg tablet 15's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5271,ramistar a tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5272,ramistar am 5/5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5273,ramistar fdc 4mg tablet 6's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5274,ramistar h 5mg tablet 15'sramistar h 2.5mg tablet 10'sramistar h 2.5mg tablet 15'sramistar h 5mg tablet 10'sramistar h 10mg tablet 15's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5275,ramistar m xl 50mg tablet 10'sramistar m xl 25mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5276,ramitan 2.5/50mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5277,ramitime 5mg capsule 10'sramitime 2.5mg capsule 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5278,ramitorva capsule 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5279,ramiwok tablet 10'sramiwok 5mg tablet 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5280,ramod 2.5mg tablet 10'sramod 5mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5281,rampitor 2.5mg capsule 10'srampitor 5/10mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5282,ramtel 5mg tablet 10'sramtel 2.5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5283,ramy 24 5mg capsule 10'sramy 24 2.5mg capsule 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5284,ramy 24 10mg capsule 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5285,ramze 2.5mg tablet 15's,Hypertension,lower high blood pressure (hypertension),5
5286,ramze am tablet 15's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5287,ranci t 10mg tablet 10'sranci t 20mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5288,ranci trio 10mg tablet 10'sranci trio 20mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5289,rancil 10mg tablet 10'srancil 5mg tablet 10'srancil 20mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5290,randear 500mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5291,ranidapril 5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5292,ranz 500mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5293,rasilez 300mg tablet 7'srasilez 150mg tablet 7's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5294,rasilez hct 300mg/12.5mg tablet 7'srasilez hct 150mg/12.5mg tablet 7's,Hypertension,lower high blood pressure (hypertension),5
5295,rasotan 40mg tablet 10'srasotan 20mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5296,rasotan am 20mg tablet 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5297,rasotan beta 25mg tablet 10'srasotan beta 20/12.5mg tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5298,rasotan h 20mg tablet 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5299,rasotan sa 20mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5300,rcord 5mg capsule 10's,Hypertension,lower high blood pressure (hypertension),5
5301,rebeat 2.5mg tablet 10'srebeat 10mg tablet 10'srebeat 5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5302,redihope 10mg tablet 15'sredihope 5mg tablet 15's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5303,redipil 5mg tablet 15'sredipil 2.5mg tablet 15's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5304,regalol xl 25mg tablet 10'sregalol xl 50mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5305,relmisart 40mg tablet 10'srelmisart 80mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5306,relmisart a 5mg/40mg tablet 10'srelmisart a 80mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5307,relmisart c 40/6.25mg tablet 10'srelmisart c 40/12.5mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5308,relmisart h 40/12.5mg tablet 10'srelmisart h 80mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5309,renace 25mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5310,renopress xl 2.5mg tablet 10'srenopress xl 5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5311,repace 100mg tablet 10'srepace 25mg tablet 10'srepace 50mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5312,repace a tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5313,repace af tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5314,repace h tablet 10'srepace h 25mg tablet 10'srepace h 25/12.5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5315,repalol tablet 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5316,repalol h tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5317,resilo 50mg tablet 10'sresilo 25mg tablet 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5318,resilo h 50/12.5mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5319,restopress 50mg tablet 7'srestopress 25mg tablet 7's,Hypertension,lower high blood pressure (hypertension),5
5320,restopress a tablet 7's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5321,retorlix 40mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5322,revas 50mg tablet 10'srevas 0.25mg tablet 10'srevas 50mg tablet 15'srevas 25mg tablet 10'srevas 0.5mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5323,revas am 5mg tablet 10'srevas am 2.5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5324,revas at tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5325,revas h tablet 10'srevas h tablet 15's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5326,revas r tablet 10'srevas r 5/50mg tablet 10'srevas r 1.25/50mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5327,ace revelol 25/2.5mg tablet 7'sace revelol 50/5mg tablet 7'srevelol sa 50mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5328,revelol am 50/5mg tablet 10'srevelol am 25/2.5mg tablet 14'srevelol am 25/2.5mg tablet 10'srevelol am 25/5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5329,revelol ch 50/6.25mg tablet 10'srevelol ch 25/6.25mg tablet 10'srevelol ch 50/12.5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5330,revelol h 50mg tablet 10'srevelol h 25mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5331,revelol sa 25mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5332,revelol xl 100mg tablet 10'srevelol xl 50mg tablet 10'srevelol xl 25mg tablet 10'srevelol xl 12.5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5333,reviro ls capsule 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5334,revlin 75mg capsule 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5335,ril 1.25mg tablet 10'sril aa capsule 10'sril 2.5mg tablet 10'sril 5mg tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5336,ril ah 2.5mg capsule 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5337,rioci 1.5mg tablet 10'srioci 1mg tablet 10'srioci 2.5mg tablet 10'srioci 2mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5338,riopah 0.5mg tablet 10'sriopah 1mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5339,rioteph 1mg tablet 10'srioteph 1.5mg tablet 10'srioteph 0.5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5340,ropnol 20mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5341,ropnol sr 40mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5342,rozucor gold 20mg capsule 10's,Hypertension,lower high blood pressure (hypertension),5
5343,rptel 40mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5344,rptel am 40/5mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5345,rumetol 50mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5346,s amcard 5mg tablet 10'ss amcard 2.5mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5347,s amlong 5mg tablet 10'ss amlong 2.5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5348,s amlosafe 2.5mg tablet 10'ss amlosafe 5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5349,s amlosafe at tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
